기사 제목,기사 내용
"크리티카: 천상의 기사단, 글로벌 3천만 다운 돌파 : 네이버 뉴스","


	
	(지디넷코리아=남혁우 기자)게임빌(대표 송병준)은 자사 ‘크리티카: 천상의 기사단’이 전 세계 누적 3천 만 다운로드를 돌파했다고 30일, 밝혔다.세계 시장에서 선전 중인 글로벌 히트 액션 RPG로 지속적인 업데이트와 장기 운영 노하우가 빚어낸 성과로 주목된다.지난 2014년 7월 글로벌 시장에 첫 선을 보인 ‘크리티카: 천상의 기사단’은 출시 3년 4개월 동안 세계 무대에서 인기를 고수하고 있는 스테디셀러로 꼽힌다.크리티카 천상의 기사단.최근에도 쿠웨이트, 엘살바도르, 자메이카, 폴란드, 캐나다 등 주요 국가 오픈 마켓 매출 TOP 50에 오르는 등 인기를 얻고 있으며, 특히 남미, 동남아, 유럽을 중심으로 입소문이 확산되어 왔다.이 게임은 ‘손 안의 초(超)액션’을 슬로건으로 내세운 만큼 통쾌한 ‘타격감’, 빠른 ‘속도감’, 화려한 스킬 연출에서 느껴지는 ‘액션성’이 강점이다.‘크리티카: 천상의 기사단’은 신규 클래스 ‘천랑주’를 추가하는 대형 업데이트도 앞두고 있다.현재 업데이트 사전 예약을 진행 중이며, 업데이트를 기념하여 다양한 프로모션과 마케팅 등 장기적인 안목으로 세몰이를 가속할 전망이다.남혁우 기자(firstblood@zdnet.co.kr)  ▶ 네이버 채널에서 ‘지디넷코리아’를 구독해주세요 











"
"'크리티카: 천상의 기사단', 글로벌 누적 다운로드 수 3000만 돌파 : 네이버 뉴스","


게임빌은 모바일 RPG '크리티카: 천상의 기사단'의 글로벌 누적 다운로드 수가 3000만 회를 넘었다고 30일 밝혔다.지난 2014년 출시된 이 게임은 출시 3년 4개월 동안 서비스되고 있다. 최근 쿠웨이트, 엘살바도르, 자메이카, 폴란드, 캐나다 등 주요 국가 오픈 마켓 매출 상위 50에 오른 바 있다.현재 '크리티카: 천상의 기사단'의 신규 클래스 천량주 추가에 앞서 사전예약이 진행 중이다. 공식 홈페이지에서 참여가능하며 참가 시 5000캐럿과 초월펫 티켓 1장이 주어진다.김훈기 기자 skyhk0418@fomos.co.kr[게임&amp;게이머, 문화를 전합니다. 포모스게임│무단 전재 및 재배포 금지]포모스
	










"
시공 초월 멜로물 '흑기사' 신세경 '발랄' '우수' 2역 : 네이버 뉴스,"


    신세경이 KBS 2TV 새 수목드라마 '흑기사'에서 1인 2역의 주인공으로 출연한다.  n.CH엔터테인먼트 제공      배우 신세경이 현대와 과거를 오가는 애절한 로맨스로 시청자들의 눈물샘을 자극한다.신세경은 오는 6일 방영되는 KBS 2TV 새 수목드라마 '흑기사'에서 1인 2역의 주연을 거머쥐었다. 200년의 시공을 넘나드는 판타지 멜로물인 이 드라마는 사랑하는 여자를 위해 위험한 운명에 맞서는 한 남자의 순애보를 그려낸다.먼저 현대의 신세경은 직장과 가정, 연애 등 모든 것이 엉망진창으로 꼬인 여행사 직원 정해라로 분한다. 인생의 밑바닥을 경험하지만 특유의 밝고 싹싹한 성격에 유능함까지 갖춘 인물. 사랑스러우면서도 통통 튀는 매력을 선보인다.반면 200년 전의 배역은 이런 정해라와 상반된 인물이라는 후문. 한많은 사연을 간직한 여인으로 우수에 젖은 눈빛과 의상 등을 통해 안방극장을 애틋한 분위기로 채울 예정이다.연출을 맡은 한상우 PD는 ""현대와 과거를 오가며 전혀 다른 인물인 듯 한 연기를 보여주고 있다""면서 ""특히 사극 캐릭터는 맞춤옷을 입은 듯 소화하고 있으니 기대해 달라""고 전했다.상대역에는 김래원이 낙점됐다. 그는 속을 드러내지는 않지만 마음은 순정으로 똘똘 뭉친 젊은 사업가 문수호를 연기해 애틋하고 진한 멜로를 그려낼 예정. 여기에 서지혜 장미희 신소율 등이 신세경과 친구, 원수, 라이벌 등 복잡한 관계를 맺으며 얼굴을 내민다. '매드독' 후속으로 시청자들을 찾아간다. 김상혁 기자    
	










"
파리바게뜨 ‘3자 합작법인’ 고용 제빵기사 60% 이상 동의서 제출 : 네이버 뉴스,"


	
	[서울신문]협력업체 11곳은 항고장 제출 직접고용은 본안소송서 결론파리바게뜨가 제빵기사를 직접 고용하라는 정부 시정지시에 반발해 제기한 집행정지 신청이 받아들여지지 않으면서 직접고용 문제는 본안소송에서 결정될 것으로 전망된다. 치열한 법정 공방이 예상되는 가운데 파리바게뜨는 소송과 별도로 본사·가맹점주·협력업체 3자 합작법인이 제빵기사를 고용하는 데 주력할 것으로 보인다.29일 파리바게뜨 협력사 측에 따르면 전체 제빵기사 약 5300명 가운데 60% 이상이 현재 동의서를 낸 것으로 파악됐다. 동의서는 본사의 직접고용을 포기하고, 3자 합작법인을 통한 고용에 동의한다는 내용이다. 합작법인에 호의적인 제빵기사가 늘어나면 파리바게뜨 측은 고용 부담과 과태료를 줄일 수 있다. 과태료는 인(人)당 부과되는 구조다. 파리바게뜨 관계자는 “연내 합작법인이 출범할 수 있도록 추진해 나갈 예정”이라고 밝혔다.고용노동부는 합작법인 출범과 무관하게 파리바게뜨가 다음달 5일까지 시정지시를 이행하지 않으면 과태료 처분과 함께 파견법 위반 혐의로 검찰에 송치할 방침이다. 고용부가 과태료를 부과하면 파리바게뜨는 소송을 통해 과태료 처분의 부당함을 주장할 것으로 보인다. 과태료가 부과되면 60일 이내 이의신청이 가능하다. 파리바게뜨는 이의신청과 함께 과태료 처분에 대한 행정소송도 제기할 것으로 전망된다. 이와 별도로 협력업체 11곳은 지난 28일 법원의 각하 결정에 항고하기로 하고 항고장을 이날 법원에 제출했다.파리바게뜨의 제빵기사 고용 방식이 파견법 위반에 해당하는지는 검찰이 사건을 기소하고 나서 법정에서 가려질 전망이다. 아울러 협력업체 소속 제빵기사 등도 파리바게뜨를 상대로 고용의사표시 이행을 구하는 별도 소송을 제기할 수 있다.법원의 각하 결정은 고용부 시정지시 효력을 정지하느냐 여부에 관한 것일 뿐 시정지시가 옳으냐 그르냐를 따지는 본안소송에 대한 최종 판단은 아니다. 다만 재판부가 “고용부 ‘시정지시’가 행정처분에 해당하지 않아 소송 대상이 될 수 없다”고 판단한 만큼 본안소송에서 파리바게뜨가 승소할 가능성은 낮다는 전망이다. 본안소송에서도 법원이 고용부 시정지시를 ‘행정처분’으로 보지 않으면 소송 자체가 성립하지 않기 때문에 파리바게뜨의 고용 방식이 실제 불법 파견에 해당하는지 등 다른 쟁점은 심리하지 않는다.홍인기 기자 ikik@seoul.co.kr김희리 기자 hitit@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
	










"
"속도 내는 파리바게뜨 3자 합작사…""제빵기사 60% 동의"" : 네이버 뉴스","


파리바게뜨 © News1파리바게뜨, 고용부담 덜고 과태료 줄일 수 있는 이점'직고용 요구' 제빵사 노조 설득은 '난제'(서울=뉴스1) 신건웅 기자 = 파리바게뜨가 법원의 '제빵기사 직접고용 집행정지 신청' 각하 결정에도 3자 합작회사인 '해피 파트너스'를 밀어붙이고 있다.3자 합작사의 흥행이 제빵기사에 대한 고용부담은 물론 과태료를 줄일 방안이라고 판단했다. 현재 제빵기사의 절반 이상이 3자 합작사를 선택한 것으로 알려졌다.문제는 제빵기사 노동조합 설득이다. 노조는 꾸준히 직고용을 요구하고 있다. 업계 관계자는 ""3자 합작사에 제빵기사가 얼마나 참여하는지가 관건""이라며 ""본사가 노조 설득에 나서야 한다""고 말했다.◇파리바게뜨, 3자 합작사 추진 속도…""부담 적고 만족도 높아"" 30일 업계에 따르면 파리바게뜨는 3자 합작법인을 다음 달 출범시킬 계획으로 관련 일정을 추진하고 있다. 이미 지난달 27일 초기 자본금 9000만원을 바탕으로 등기도 마쳤다.3자 합작사는 파리바게뜨 본사는 물론 협력업체와 가맹점주들이 3분의 1씩 출자해 만든 회사다. 부담이 큰 제빵기사 직고용을 피하면서도 가맹점과 협력사의 피해가 적은 방안이라고 보고 있다.파리바게뜨는 최대한 많은 제빵기사의 참여를 유도하는 것이 목표다. 본안소송 결과와 상관없이 제빵기사가 3자 합작사를 택하면 모든 문제가 해결되기 때문이다.고용노동부도 제빵기사가 본사 직고용을 거부하고 3자 합작사를 선택하면 인정하기로 했다. 제빵기사 의견이 가장 중요하다는 판단이다.과태료 부분에서도 제빵기사의 선택이 변수다. 과태료 부과 액수는 최대 530억원에 달한다. 제빵기사 5309명에 1000만원을 곱한 금액이다.만약 직고용을 거부하는 제빵기사 수가 늘어나면 파리바게뜨가 내야 하는 과태료 금액도 줄어든다. 과태료가 인당 부과되는 구조이기 때문이다. 고용부 관계자는 ""제빵기사들이 3자 합작사를 원하면 과태료도 그 수에 비례해 감소한다""고 설명했다.이에 대해 파리바게뜨 관계자는 ""3자 합작사 부분에 대해 제빵기사에게 설명 중""이라고 말했다. 이미 협력업체를 중심으로 3자 합작회사에 대한 설명회를 진행 중이다.서울 시내의 한 파리바게뜨에서 제빵사가 제빵용 기기를 닦고 있다. /뉴스1 © News1 구윤성 기자◇제빵기사 '본사 직고용 vs 3자 합작사' 고심제빵기사들은 본사 직고용과 3자 합작사를 두고 저울질하고 있다. 파리바게뜨와 협력사 측에선 제빵기사의 60%가량이 3자 합작사에 동의했다고 밝혔다.실제 파리바게뜨 제빵사 30여명은 대구 동구 라이온즈협회 회관에서 기자회견을 열고 ""본사 직접고용만이 최선의 해결책이라고 생각하지 않는다""며 직고용 반대 입장을 나타내기도 했다.경력 인정에 대한 부분이 컸다. 3자 합작사는 본사 수준의 처우에 경력 인정을 약속했다. 반대로 본사 소속이 되면 처우는 같지만 그동안의 경력은 인정받지 못한다. 아울러 직고용 시 본사의 업무 간섭과 고용불안도 3자 합작사 선택에 일조했다.한 제빵기사는 ""경력이 있는 제빵기사들은 대부분 3자 합작회사를 선택하기로 했다""며 ""고용불안과 업무지시 문제를 고려하면 본사 직고용보단 3자 합작사가 낫다는 판단""이라고 말했다.다른 제빵기사도 ""본사 수준에 준하는 대우는 물론 업무 지시에서 자유로울 수 있다는 점을 고려하면 3자 합작회사가 좋은 선택지가 될 수 있다""며 ""주변에서도 3자 합작사를 택한 동료가 많다""고 언급했다.파리바게뜨 제빵기사 노조는 풀어야 할 숙제다. 지속해서 본사 직고용을 요구하고 있다. 노조 관계자는 ""법원 결정이 난 만큼 직고용에 나서야 한다""며 ""직고용을 위해 노조에 가입하는 제빵기사들의 수가 늘어나고 있다""고 주장했다.이에 대해 파리바게뜨 관계자는 ""원만하게 문제가 해결될 수 있도록 하겠다""고 답했다.keon@▶ '평창2018' 관련 뉴스·포토 보기▶ 네이버메인에 ‘뉴스1채널’ 설정하기!▶ 여러분의 제보를 기다립니다.제보하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]











"
"""식스팩 복근""…'흑기사' 김현준, 시선강탈 스틸컷 :: 네이버 TV연예","











 
[스포츠조선 김영록 기자]'흑기사' 김현준이 탄탄한 바디라인을 뽐냈다.KBS 2TV 새 수목드라마 '흑기사(BLACK KNIGHT)' 측은 탄탄한 몸매를 드러내며 시선을 강탈하는 김현준의 스틸 컷을 30일 공개했다.사진 속 김현준은 한 피트니스 센터에서 사뭇 진지한 표정을 짓고 있는 모습으로, 이글거리는 눈빛과 선이 진한 얼굴, 탄탄한 바디라인으로 야성적인 매력을 드러냈다. 반면 공개된 또 다른 스틸 컷에서는 상의를 걷어 올리고 복근과 치골근을 자랑하며 한껏 포즈를 취한 모습으로 극 중 김현준의 자아도취적인 성격을 짐작케 해 웃음을 유발한다.극 중 김현준이 맡은 캐릭터 최지훈은 2대째 신림동 고시촌에서 하숙집을 운영하는 집안의 아들로, 허영심 있고 넉살스러우며 생각보다 행동이 먼저인 인물이다.또한 최지훈은 우연한 기회로 검사 행세를 하게 되며 정해라(신세경 분)의 '10개월 남친'으로도 활약할 예정이다. 단순하고 저돌적인 성격 탓에 다른 인물들과의 사이에서 각종 사건사고를 일으킬 전망이며, 검사를 사칭하던 그가 돌연 피트니스 센터 트레이너로 일하게 된다고 해 그 사연에도 궁금증이 쏠린다.'흑기사' 제작진은 ""최지훈 역을 맡은 김현준은 자연스러운 연기로 캐릭터의 매력을 십분 살리고 있다. 뿐만 아니라 현장에서 내내 뜨거운 에너지를 보여주며, 현장 관계자들의 칭찬을 받고 있다. 김현준이 이번 작품을 통해 그 동안 탄탄하게 쌓아온 연기력을 여실히 보여줄 것으로 기대된다""라고 전했다.한편 '흑기사'는 사랑하는 여자를 위해 위험한 운명에 맞서는 한 남자의 순애보를 다룬 작품으로 김인영 작가와 한상우 PD, 김래원과 신세경, 서지혜, 장미희 등 명품 출연진이 만나 2017 하반기 최고의 기대작으로 주목 받고 있다.김현준, 신소율, 박성훈, 김설진 등 매력적인 조연들의 이야기까지 조금씩 베일을 벗으며 더욱 기대를 높이는 '흑기사'는 '매드독' 후속으로 12월 6일 첫 방송된다lunarfly@sportschosun.com▶KBL 450%+NBA 320%+배구290%, 마토토 필살픽 적중 신화는 계속된다 [스포츠조선 바로가기] [스포츠조선 페이스북]"
"[Oh!쎈 컷] ‘흑기사’ 김현준, 완벽 바디라인 ‘신세경 10개월 남친’ :: 네이버 TV연예","











 
[OSEN=강서정 기자] ‘흑기사’ 김현준의 스틸컷이 공개됐다.KBS 2TV 새 수목드라마 ‘흑기사(BLACK KNIGHT)’(극본 김인영, 연출 한상우) 측은 탄탄한 몸매를 드러내며 시선을 강탈하는 김현준의 스틸 컷을 30일 공개했다.사진 속 김현준은 한 피트니스 센터에서 사뭇 진지한 표정을 짓고 있는 모습으로, 이글거리는 눈빛과 선이 진한 얼굴, 탄탄한 바디라인으로 야성적인 매력을 드러냈다. 반면 공개된 또 다른 스틸 컷에서는 상의를 걷어 올리고 복근과 치골근을 자랑하며 한껏 포즈를 취한 모습으로 극 중 김현준의 자아도취적인 성격을 짐작케 해 웃음을 유발한다.극 중 김현준이 맡은 캐릭터 최지훈은 2대째 신림동 고시촌에서 하숙집을 운영하는 집안의 아들로, 허영심 있고 넉살스러우며 생각보다 행동이 먼저인 인물이다.또한 최지훈은 우연한 기회로 검사 행세를 하게 되며 정해라(신세경 분)의 '10개월 남친'으로도 활약할 예정이다. 단순하고 저돌적인 성격 탓에 다른 인물들과의 사이에서 각종 사건사고를 일으킬 전망이며, 검사를 사칭하던 그가 돌연 피트니스 센터 트레이너로 일하게 된다고 해 그 사연에도 궁금증이 쏠린다.'흑기사' 제작진은 “최지훈 역을 맡은 김현준은 자연스러운 연기로 캐릭터의 매력을 십분 살리고 있다. 뿐만 아니라 현장에서 내내 뜨거운 에너지를 보여주며, 현장 관계자들의 칭찬을 받고 있다. 김현준이 이번 작품을 통해 그 동안 탄탄하게 쌓아온 연기력을 여실히 보여줄 것으로 기대된다”라고 전했다.한편 ‘흑기사’는 사랑하는 여자를 위해 위험한 운명에 맞서는 한 남자의 순애보를 다룬 작품으로 김인영 작가와 한상우 PD, 김래원과 신세경, 서지혜, 장미희 등 명품 출연진이 만나 2017 하반기 최고의 기대작으로 주목 받고 있다. 오는 12월 6일 첫 방송. /kangsj@osen.co.kr[사진] n.CH 엔터테인먼트 제공


				enter.read.font.util.init();
			












"
"[포인트:컷] 신예 김현준, '흑기사' 신세경 前남친으로 등장 '완벽 식스팩' :: 네이버 TV연예","











 
[엑스포츠뉴스 김주애 기자] ‘흑기사’ 김현준의 스틸컷이 공개됐다.KBS 2TV 새 수목드라마 ‘흑기사(BLACK KNIGHT)’ 측은 탄탄한 몸매를 드러내며 시선을 강탈하는 김현준의 스틸 컷을 30일 공개했다.사진 속 김현준은 한 피트니스 센터에서 사뭇 진지한 표정을 짓고 있는 모습으로, 이글거리는 눈빛과 선이 진한 얼굴, 탄탄한 바디라인으로 야성적인 매력을 드러냈다. 반면 공개된 또 다른 스틸 컷에서는 상의를 걷어 올리고 복근과 치골근을 자랑하며 한껏 포즈를 취한 모습으로 극 중 김현준의 자아도취적인 성격을 짐작케 해 웃음을 유발한다.극 중 김현준이 맡은 캐릭터 최지훈은 2대째 신림동 고시촌에서 하숙집을 운영하는 집안의 아들로, 허영심 있고 넉살스러우며 생각보다 행동이 먼저인 인물이다.또한 최지훈은 우연한 기회로 검사 행세를 하게 되며 정해라(신세경 분)의 '10개월 남친'으로도 활약할 예정이다. 단순하고 저돌적인 성격 탓에 다른 인물들과의 사이에서 각종 사건사고를 일으킬 전망이며, 검사를 사칭하던 그가 돌연 피트니스 센터 트레이너로 일하게 된다고 해 그 사연에도 궁금증이 쏠린다.'흑기사' 제작진은 “최지훈 역을 맡은 김현준은 자연스러운 연기로 캐릭터의 매력을 십분 살리고 있다. 뿐만 아니라 현장에서 내내 뜨거운 에너지를 보여주며, 현장 관계자들의 칭찬을 받고 있다. 김현준이 이번 작품을 통해 그 동안 탄탄하게 쌓아온 연기력을 여실히 보여줄 것으로 기대된다”라고 전했다.한편 ‘흑기사’는 사랑하는 여자를 위해 위험한 운명에 맞서는 한 남자의 순애보를 다룬 작품으로 김인영 작가와 한상우 PD, 김래원과 신세경, 서지혜, 장미희 등 명품 출연진이 만나 2017 하반기 최고의 기대작으로 주목 받고 있다.김현준, 신소율, 박성훈, 김설진 등 매력적인 조연들의 이야기까지 조금씩 베일을 벗으며 더욱 기대를 높이는 ‘흑기사’는 ‘매드독’ 후속으로 12월 6일 첫 방송된다savannah14@xportsnews.com / 사진 = n.CH 엔터테인먼트▶ 매력폭발 스타들의 모습을 영상으로[엑스포츠뉴스 네이버TV] ▶ 엑스포츠뉴스 공식 [페이스북] [트위터] - Copyrightsⓒ엑스포츠뉴스(http://www.xportsnews.com) 무단 전재 및 재배포 금지


				enter.read.font.util.init();
			












"
"'흑기사' 신세경의 '10개월 남친' 김현준, 완벽 식스팩 자태 :: 네이버 TV연예","











				
					
				
				[서울경제] ‘흑기사’ 김현준의 스틸컷이 공개됐다. 
사진=n.CH 엔터테인먼트"
"""명품 식스팩""…'흑기사' 김현준, 훈남 사기꾼 변신 스틸 :: 네이버 TV연예","











 
[헤럴드POP=이미지 기자] ‘흑기사’ 김현준의 스틸컷이 공개됐다. KBS 2TV 새 수목드라마 ‘흑기사(BLACK KNIGHT)’(극본 김인영 연출 한상우 제작 n.CH 엔터테인먼트) 측은 탄탄한 몸매를 드러내며 시선을 강탈하는 김현준의 스틸 컷을 30일 공개했다. 사진 속 김현준은 한 피트니스 센터에서 사뭇 진지한 표정을 짓고 있는 모습으로, 이글거리는 눈빛과 선이 진한 얼굴, 탄탄한 바디라인으로 야성적인 매력을 드러냈다. 반면 공개된 또 다른 스틸 컷에서는 상의를 걷어 올리고 복근과 치골근을 자랑하며 한껏 포즈를 취한 모습으로 극중 김현준의 자아도취적인 성격을 짐작케 해 웃음을 유발한다. 극중 김현준이 맡은 캐릭터 최지훈은 2대째 신림동 고시촌에서 하숙집을 운영하는 집안의 아들로, 허영심 있고 넉살스러우며 생각보다 행동이 먼저인 인물이다. 또한 최지훈은 우연한 기회로 검사 행세를 하게 되며 정해라(신세경 분)의 ’10개월 남친’으로도 활약할 예정이다. 단순하고 저돌적인 성격 탓에 다른 인물들과의 사이에서 각종 사건사고를 일으킬 전망이며, 검사를 사칭하던 그가 돌연 피트니스 센터 트레이너로 일하게 된다고 해 그 사연에도 궁금증이 쏠린다. ‘흑기사’ 제작진은 “최지훈 역을 맡은 김현준은 자연스러운 연기로 캐릭터의 매력을 십분 살리고 있다. 뿐만 아니라 현장에서 내내 뜨거운 에너지를 보여주며, 현장 관계자들의 칭찬을 받고 있다. 김현준이 이번 작품을 통해 그동안 탄탄하게 쌓아온 연기력을 여실히 보여줄 것으로 기대된다”라고 전했다. 한편 ‘흑기사’는 사랑하는 여자를 위해 위험한 운명에 맞서는 한 남자의 순애보를 다룬 작품으로 김인영 작가와 한상우 PD, 김래원과 신세경, 서지혜, 장미희 등 명품 출연진이 만나 2017 하반기 최고의 기대작으로 주목 받고 있다. ‘매드독’ 후속으로 오는 12월 6일 첫 방송된다.popnews@heraldcorp.com▶ '이 화질 실화냐' 방탄 워너원 트와이스 설리 리얼 직캠[헤럴드팝 네이버TV]- Copyrights ⓒ 헤럴드POP &amp; heraldpop.com, 무단 전재 및 재배포 금지 -
			

				enter.read.font.util.init();
			












"
